Albania, 3.0, 12, 7, 0.5
Andorra, 0.1, 8, 3, 0.5
Bosnia-Herzegovina, 3.8, 8, 9, -0.1
Croatia, 4.2, 10, 13, -0.3
Greece, 11.0, 9, 11, -0.1
Italy, 61.3, 9, 10, -0.1
Kosovo, 1.8, 15, 4, 1.1
Macedonia, 2.1, 11, 9, 0.2
Malta, 0.4, 10, 8, 0.2
Montenegro, 0.6, 12, 10, 0.3
Portugal, 10.4, 8, 10, -0.2
San-Marino, 0.03, 10, 7, 0.3
Serbia, 7.1, 9, 14, -0.5
Slovenia, 2.1, 10, 9, 0.1
Spain, 46.5, 9, 8, 0.1
